job_title,company_name,published,job_url
Instrument Scientist (f/m/d),European X-Ray Free-Electron Laser Facility GmbH,N/A,https://de.indeed.com/viewjob?jk=1d02034f0f9317bb
"Research Associate for the Project “Cluster of Excellence, BlueMat: Water-driven Materials – Tunable Hydraulic and Capillarity-Driven Water Flow in Nanoporous Materials”",Universität Hamburg,N/A,https://de.indeed.com/viewjob?jk=090085d6b98bee74
Data Scientist (m/w/d) – Vollzeit,BZKI Bildungszentrum für künstliche Intelligenz...,N/A,https://de.indeed.com/viewjob?jk=96cc04c48c332a1f
Data Scientist (f/m/d),think-cell,N/A,https://de.indeed.com/viewjob?jk=c40deccc1fae5238
Senior Data Scientist (German-speaking),Dataiku,N/A,https://de.indeed.com/viewjob?jk=c2de471dc91dded8
Senior Applied Scientist (all genders),Zalando,N/A,https://de.indeed.com/viewjob?jk=fb4efb63030dff18
Full Stack Data Scientist Expert (w/m/d),Smarketer Group,N/A,https://de.indeed.com/viewjob?jk=5b486db941c79e95
ML Data Scientist (w/m/d) in Duisburg,Landesamt für Zentrale Polizeiliche Dienste NRW,N/A,https://de.indeed.com/viewjob?jk=83abe5c5d8d7aeb8
Data Scientist (all genders),Kaufland e-commerce Services GmbH & Co. KG,N/A,https://de.indeed.com/viewjob?jk=4fe3bd8149c2aa40
Data Scientist (all genders),Kaufland e-commerce Services GmbH & Co. KG,N/A,https://de.indeed.com/viewjob?jk=456789abcdef0123
"Bench Scientist Biotechnology (all genders), Frankfurt a.M.",Bayer,N/A,https://de.indeed.com/viewjob?jk=85b9b9c6bf815d68
